name,count_female,count_male,count_total_gender,share_female,share_male,race_W,count_race_W,race_B,count_race_B,race_H,count_race_H,race_A,count_race_A,count_total_race,share_white,share_black,share_hispanic,share_asian
Ismael,0,85,85,0,1,,,BLACK,11,HISPANIC,74,,,85,0,0.129411764705882,0.870588235294118,0
Jaden,0,353,353,0,1,,,BLACK,129,HISPANIC,116,ASIAN_PACIFIC-ISLANDER,108,353,0,0.365439093484419,0.328611898016997,0.305949008498584
Marco,0,139,139,0,1,WHITE,71,,,HISPANIC,68,,,139,0.510791366906475,0,0.489208633093525,0
Dominic,0,208,208,0,1,WHITE,84,BLACK,36,HISPANIC,88,,,208,0.403846153846154,0.173076923076923,0.423076923076923,0
Edgar,0,64,64,0,1,,,,,HISPANIC,64,,,64,0,0,1,0
Hector,0,75,75,0,1,,,,,HISPANIC,75,,,75,0,0,1,0
Jack,0,719,719,0,1,WHITE,570,,,HISPANIC,84,ASIAN_PACIFIC-ISLANDER,65,719,0.792767732962448,0,0.11682892906815,0.0904033379694019
Jayson,0,70,70,0,1,,,,,HISPANIC,70,,,70,0,0,1,0
Raymond,0,179,179,0,1,WHITE,52,,,HISPANIC,52,ASIAN_PACIFIC-ISLANDER,75,179,0.290502793296089,0,0.290502793296089,0.418994413407821
Ricardo,0,65,65,0,1,,,,,HISPANIC,65,,,65,0,0,1,0
Julio,0,72,72,0,1,,,,,HISPANIC,72,,,72,0,0,1,0
Albert,0,148,148,0,1,WHITE,41,,,HISPANIC,56,ASIAN_PACIFIC-ISLANDER,51,148,0.277027027027027,0,0.378378378378378,0.344594594594595
Julius,0,76,76,0,1,,,,,HISPANIC,76,,,76,0,0,1,0
Maximus,0,114,114,0,1,WHITE,37,BLACK,14,HISPANIC,63,,,114,0.324561403508772,0.12280701754386,0.552631578947369,0
Yadiel,0,60,60,0,1,,,,,HISPANIC,60,,,60,0,0,1,0
Aidan,0,333,333,0,1,WHITE,107,BLACK,59,HISPANIC,78,ASIAN_PACIFIC-ISLANDER,89,333,0.321321321321321,0.177177177177177,0.234234234234234,0.267267267267267
Emilio,0,71,71,0,1,,,,,HISPANIC,71,,,71,0,0,1,0
Marcos,0,55,55,0,1,,,,,HISPANIC,55,,,55,0,0,1,0
Omar,0,276,276,0,1,WHITE,168,BLACK,43,HISPANIC,65,,,276,0.608695652173913,0.155797101449275,0.235507246376812,0
Robert,0,395,395,0,1,WHITE,232,BLACK,59,HISPANIC,94,ASIAN_PACIFIC-ISLANDER,10,395,0.587341772151899,0.149367088607595,0.237974683544304,0.0253164556962025
Abel,0,88,88,0,1,,,,,HISPANIC,88,,,88,0,0,1,0
Adriel,0,87,87,0,1,,,,,HISPANIC,87,,,87,0,0,1,0
Gavin,0,311,311,0,1,WHITE,137,BLACK,32,HISPANIC,61,ASIAN_PACIFIC-ISLANDER,81,311,0.440514469453376,0.102893890675241,0.196141479099678,0.260450160771704
Johnny,0,89,89,0,1,,,,,HISPANIC,50,ASIAN_PACIFIC-ISLANDER,39,89,0,0,0.561797752808989,0.438202247191011
Kelvin,0,52,52,0,1,,,,,HISPANIC,52,,,52,0,0,1,0
Brayan,0,60,60,0,1,,,,,HISPANIC,60,,,60,0,0,1,0
Noel,0,101,101,0,1,,,BLACK,29,HISPANIC,72,,,101,0,0.287128712871287,0.712871287128713,0
Zachary,0,496,496,0,1,WHITE,262,BLACK,78,HISPANIC,75,ASIAN_PACIFIC-ISLANDER,81,496,0.528225806451613,0.157258064516129,0.151209677419355,0.163306451612903
Allen,0,124,124,0,1,,,,,HISPANIC,45,ASIAN_PACIFIC-ISLANDER,79,124,0,0,0.362903225806452,0.637096774193548
Devin,0,133,133,0,1,WHITE,21,BLACK,30,HISPANIC,46,ASIAN_PACIFIC-ISLANDER,36,133,0.157894736842105,0.225563909774436,0.345864661654135,0.270676691729323
Elian,0,70,70,0,1,,,,,HISPANIC,70,,,70,0,0,1,0
Erik,0,32,32,0,1,WHITE,10,,,HISPANIC,22,,,32,0.3125,0,0.6875,0
Jael,0,57,57,0,1,,,,,HISPANIC,57,,,57,0,0,1,0
Jariel,0,59,59,0,1,,,,,HISPANIC,59,,,59,0,0,1,0
Mathew,0,57,57,0,1,,,,,HISPANIC,57,,,57,0,0,1,0
Prince,0,186,186,0,1,,,BLACK,127,HISPANIC,59,,,186,0,0.682795698924731,0.317204301075269,0
Chase,0,338,338,0,1,WHITE,90,BLACK,175,HISPANIC,60,ASIAN_PACIFIC-ISLANDER,13,338,0.266272189349112,0.517751479289941,0.177514792899408,0.0384615384615385
Danny,0,68,68,0,1,,,,,HISPANIC,40,ASIAN_PACIFIC-ISLANDER,28,68,0,0,0.588235294117647,0.411764705882353
Darwin,0,52,52,0,1,,,,,HISPANIC,52,,,52,0,0,1,0
Jayce,0,142,142,0,1,,,BLACK,54,HISPANIC,88,,,142,0,0.380281690140845,0.619718309859155,0
Marcus,0,246,246,0,1,WHITE,46,BLACK,58,HISPANIC,54,ASIAN_PACIFIC-ISLANDER,88,246,0.186991869918699,0.235772357723577,0.219512195121951,0.357723577235772
Francisco,0,71,71,0,1,,,,,HISPANIC,71,,,71,0,0,1,0
Israel,0,193,193,0,1,WHITE,98,BLACK,41,HISPANIC,54,,,193,0.507772020725389,0.212435233160622,0.27979274611399,0
Jaiden,0,128,128,0,1,,,BLACK,66,HISPANIC,62,,,128,0,0.515625,0.484375,0
Lenny,0,45,45,0,1,,,,,HISPANIC,45,,,45,0,0,1,0
Matias,0,72,72,0,1,,,,,HISPANIC,72,,,72,0,0,1,0
Thomas,0,470,470,0,1,WHITE,345,BLACK,14,HISPANIC,57,ASIAN_PACIFIC-ISLANDER,54,470,0.734042553191489,0.0297872340425532,0.121276595744681,0.114893617021277
Abraham,0,540,540,0,1,WHITE,436,BLACK,20,HISPANIC,84,,,540,0.807407407407407,0.037037037037037,0.155555555555556,0
George,0,300,300,0,1,WHITE,206,BLACK,11,HISPANIC,50,ASIAN_PACIFIC-ISLANDER,33,300,0.686666666666667,0.0366666666666667,0.166666666666667,0.11
Jared,0,55,55,0,1,,,,,HISPANIC,55,,,55,0,0,1,0
Kyle,0,331,331,0,1,WHITE,47,BLACK,93,HISPANIC,45,ASIAN_PACIFIC-ISLANDER,146,331,0.141993957703928,0.280966767371601,0.13595166163142,0.441087613293051
Melvin,0,32,32,0,1,,,,,HISPANIC,32,,,32,0,0,1,0
Pedro,0,59,59,0,1,,,,,HISPANIC,59,,,59,0,0,1,0
Sean,0,257,257,0,1,WHITE,100,BLACK,45,HISPANIC,43,ASIAN_PACIFIC-ISLANDER,69,257,0.389105058365759,0.175097276264591,0.167315175097276,0.268482490272374
Yahir,0,40,40,0,1,,,,,HISPANIC,40,,,40,0,0,1,0
Andre,0,90,90,0,1,,,BLACK,44,HISPANIC,46,,,90,0,0.488888888888889,0.511111111111111,0
Cameron,0,307,307,0,1,WHITE,72,BLACK,161,HISPANIC,61,ASIAN_PACIFIC-ISLANDER,13,307,0.234527687296417,0.52442996742671,0.198697068403909,0.0423452768729642
Ezequiel,0,40,40,0,1,,,,,HISPANIC,40,,,40,0,0,1,0
Felix,0,175,175,0,1,WHITE,66,,,HISPANIC,48,ASIAN_PACIFIC-ISLANDER,61,175,0.377142857142857,0,0.274285714285714,0.348571428571429
Landon,0,99,99,0,1,WHITE,50,,,HISPANIC,49,,,99,0.505050505050505,0,0.494949494949495,0
Mario,0,46,46,0,1,,,,,HISPANIC,46,,,46,0,0,1,0
Maxwell,0,271,271,0,1,WHITE,169,BLACK,11,HISPANIC,48,ASIAN_PACIFIC-ISLANDER,43,271,0.623616236162362,0.040590405904059,0.177121771217712,0.158671586715867
Roberto,0,47,47,0,1,,,,,HISPANIC,47,,,47,0,0,1,0
